Reference,Quantity,Value,Description,Manufacturer,MPN,Package,Supplier,Notes
U1,1,LM2596S-5.0,"5V/3A step-down switching regulator",Texas Instruments,LM2596S-5.0/NOPB,TO-263-5,Mouser/DigiKey,Primary DC-DC converter
U2,1,AMS1117-3.3,"3.3V/1A LDO linear regulator",Advanced Monolithic Systems,AMS1117-3.3,SOT-223-3,Mouser/DigiKey,Secondary 3.3V regulator
U3,1,STM32F407VGT6,"ARM Cortex-M4F MCU 168MHz 1MB Flash 192KB SRAM",STMicroelectronics,STM32F407VGT6,LQFP-100,Mouser/DigiKey,Main microcontroller
U4,1,ADS1263IPW,"32-bit delta-sigma ADC 38.4kSPS 10-ch SPI",Texas Instruments,ADS1263IPW,TSSOP-28,Mouser/DigiKey,Precision ADC
U5,1,CD74HC4067SM96,"16-channel analog MUX (String Voltages)",Texas Instruments,CD74HC4067SM96,SOIC-24W,Mouser/DigiKey,MUX A for string voltages
U6,1,CD74HC4067SM96,"16-channel analog MUX (String Currents)",Texas Instruments,CD74HC4067SM96,SOIC-24W,Mouser/DigiKey,MUX B for string currents
U7,1,SP3485EN,"3.3V RS-485 half-duplex transceiver",MaxLinear,SP3485EN-L/TR,SOIC-8,Mouser/DigiKey,RS-485 transceiver
U8,1,TMP117AIDRVR,"Digital temp sensor +/-0.1C I2C",Texas Instruments,TMP117AIDRVR,SOT-23-6,Mouser/DigiKey,Panel temperature sensor
Q1,1,SI2301CDS,"P-channel MOSFET -20V -2.8A",Vishay,SI2301CDS-T1-GE3,SOT-23,Mouser/DigiKey,Reverse polarity protection
D1,1,SMBJ30A,"30V TVS diode bidirectional",Littelfuse,SMBJ30A,SMB,Mouser/DigiKey,24V input surge protection
D2,1,SS34,"40V 3A Schottky diode",ON Semiconductor,SS34,SMA,Mouser/DigiKey,LM2596 freewheeling diode
D3,1,SMBJ6.0A,"6V TVS diode RS-485 A line",Littelfuse,SMBJ6.0A,SMB,Mouser/DigiKey,RS-485 A line protection
D4,1,SMBJ6.0A,"6V TVS diode RS-485 B line",Littelfuse,SMBJ6.0A,SMB,Mouser/DigiKey,RS-485 B line protection
D5-D20,16,SMBJ5.0A,"5V TVS diode string voltage inputs",Littelfuse,SMBJ5.0A,SMB,Mouser/DigiKey,16x string voltage input protection
D21-D36,16,SMBJ5.0A,"5V TVS diode string current inputs",Littelfuse,SMBJ5.0A,SMB,Mouser/DigiKey,16x string current input protection
Y1,1,8MHz,"HSE crystal HC49/SMD CL=20pF",Abracon,ABM3B-8.000MHZ-10,HC49/SMD,Mouser/DigiKey,MCU system clock
Y2,1,32.768kHz,"LSE crystal CL=6.8pF",Abracon,ABS07-32.768KHZ-T,2.0x1.2mm,Mouser/DigiKey,RTC clock
L1,1,33uH,"Power inductor 3A shielded",Bourns,SRR1260A-330M,12.5x12.5mm,Mouser/DigiKey,LM2596 output inductor
J1,1,24V_DC_IN,"2-pin terminal block 5.08mm pitch",Phoenix Contact,1757019,5.08mm,Mouser/DigiKey,24V DC power input
J2,1,STRING_INPUT,"32-pair terminal block for 16 string V+I",Phoenix Contact,1757242,3.81mm,Mouser/DigiKey,String voltage/current inputs
