Reference,Quantity,Value,Description,Manufacturer,MPN,Package,Supplier,Notes
U1,1,LM2596S-5.0,"5V/3A step-down switching regulator",Texas Instruments,LM2596S-5.0/NOPB,TO-263-5,Mouser/DigiKey,Primary DC-DC converter
U2,1,AMS1117-3.3,"3.3V/1A LDO linear regulator",Advanced Monolithic Systems,AMS1117-3.3,SOT-223-3,Mouser/DigiKey,Secondary 3.3V regulator
U3,1,STM32F407VGT6,"ARM Cortex-M4F MCU 168MHz 1MB Flash 192KB SRAM",STMicroelectronics,STM32F407VGT6,LQFP-100,Mouser/DigiKey,Main microcontroller
U4,1,ADS1258IPHPR,"24-bit delta-sigma ADC 16-ch 23.7kSPS SPI",Texas Instruments,ADS1258IPHPR,TSSOP-38,Mouser/DigiKey,Precision ADC for 4-20mA
U5,1,W5500,"Hardwired TCP/IP embedded Ethernet controller",WIZnet,W5500,QFN-48,Mouser/DigiKey,Ethernet Modbus TCP
U6,1,SP3485EN,"3.3V RS-485 half-duplex transceiver",MaxLinear,SP3485EN-L/TR,SOIC-8,Mouser/DigiKey,RS-485 Modbus RTU
Q1,1,SI2301CDS,"P-channel MOSFET -20V -2.8A",Vishay,SI2301CDS-T1-GE3,SOT-23,Mouser/DigiKey,Reverse polarity protection
D1,1,SMBJ30A,"30V TVS diode bidirectional",Littelfuse,SMBJ30A,SMB,Mouser/DigiKey,24V input surge protection
D2,1,SS34,"40V 3A Schottky diode",ON Semiconductor,SS34,SMA,Mouser/DigiKey,LM2596 freewheeling diode
D3,1,SMBJ6.5A,"6.5V TVS diode RS-485 A line",Littelfuse,SMBJ6.5A,SMB,Mouser/DigiKey,RS-485 A line protection
D4,1,SMBJ6.5A,"6.5V TVS diode RS-485 B line",Littelfuse,SMBJ6.5A,SMB,Mouser/DigiKey,RS-485 B line protection
D5-D12,8,SM6T6V8A,"6.8V TVS bidirectional 4-20mA input protection",STMicroelectronics,SM6T6V8A,SMB,Mouser/DigiKey,8x per-channel ESD/surge protection
D13-D20,8,BAT54,"Schottky diode overvoltage clamp to +5V Vref",Nexperia,BAT54,SOT-23,Mouser/DigiKey,8x upper clamp diodes
D21-D28,8,BAT54,"Schottky diode undervoltage clamp to GND",Nexperia,BAT54,SOT-23,Mouser/DigiKey,8x lower clamp diodes
Y1,1,8MHz,"HSE crystal HC49/SMD CL=20pF",Abracon,ABM3B-8.000MHZ-10,HC49/SMD,Mouser/DigiKey,MCU system clock
Y2,1,32.768kHz,"LSE crystal CL=6.8pF",Abracon,ABS07-32.768KHZ-T,2.0x1.2mm,Mouser/DigiKey,RTC clock
Y3,1,25MHz,"W5500 crystal CL=20pF",Abracon,ABM3B-25.000MHZ-10,HC49/SMD,Mouser/DigiKey,Ethernet controller clock
L1,1,33uH,"Power inductor 3A shielded",Bourns,SRR1260A-330M,12.5x12.5mm,Mouser/DigiKey,LM2596 output inductor
J1,1,24V_DC_IN,"2-pin terminal block 5.08mm pitch",Phoenix Contact,1757019,5.08mm,Mouser/DigiKey,24V DC power input
J2,1,4-20mA_IN,"16-pin terminal block 8 pairs signal+return",Phoenix Contact,1757248,3.81mm,Mouser/DigiKey,8x 4-20mA sensor inputs
