Reference,Qty,Value,Description,Package/Footprint,MPN,Manufacturer,Category,Unit Price (USD),Ext Price (USD),Datasheet
"=== MCU & CORE ===",,,,,,,,,,,
U10,1,STM32H743VIT6,"ARM Cortex-M7 480MHz, 2MB Flash, 1MB SRAM MCU",LQFP-100,STM32H743VIT6,STMicroelectronics,MCU,12.50,12.50,https://www.st.com/resource/en/datasheet/stm32h743vi.pdf
Y1,1,25MHz,"HSE Crystal Oscillator, 10ppm, 10pF load",SMD 3215-4Pin,ABM8-25.000MHZ-B2-T,Abracon,Crystal,0.45,0.45,
Y2,1,32.768kHz,"LSE Crystal for RTC, 12.5pF load",SMD 2012,ABS07-32.768KHZ-T,Abracon,Crystal,0.35,0.35,
J10,1,SWD Debug,"10-pin ARM Cortex SWD debug connector",2x05 1.27mm SMD,FTSH-105-01-L-DV-K,Samtec,Connector,2.80,2.80,
J11,1,USB-C,"USB Type-C 2.0 receptacle for programming",USB-C SMD,USB4085-GF-A,GCT,Connector,0.65,0.65,
"=== POWER SUPPLY ===",,,,,,,,,,,
J1,1,24VDC Input,"Phoenix Contact screw terminal 2-pin",5.08mm pitch,1729128,Phoenix Contact,Connector,0.85,0.85,
F1,1,1.5A PTC,"Resettable PTC fuse, 1.5A hold",1812,MF-MSMF150-2,Bourns,Protection,0.30,0.30,
D1,1,SMDJ36A,"TVS diode, 36V standoff, 600W peak",SMC,SMDJ36A,Littelfuse,Protection,0.55,0.55,
Q1,1,SI4435DDY,"P-Channel MOSFET for reverse polarity protection",SO-8,SI4435DDY-T1-GE3,Vishay,MOSFET,0.75,0.75,
L1,1,"10uH 2A","EMI filter ferrite inductor",1210,SRN3015TA-100M,Bourns,Inductor,0.25,0.25,
U1,1,TPS54560DDAR,"Buck converter 4.5-60V to 5V, 5A",HSOP-8,TPS54560DDAR,Texas Instruments,Power IC,3.20,3.20,https://www.ti.com/lit/ds/symlink/tps54560.pdf
L2,1,"22uH 3A","Buck converter inductor, shielded",1210,SRP1265A-220M,Bourns,Inductor,0.85,0.85,
D3,1,SS34,"Schottky diode 40V 3A for buck converter",SMA,SS34,ON Semiconductor,Diode,0.15,0.15,
U2,1,TLV1117LV33,"LDO 3.3V 1A, digital power rail",SOT-223,TLV1117LV33DCYR,Texas Instruments,Power IC,0.45,0.45,https://www.ti.com/lit/ds/symlink/tlv1117lv.pdf
U3,1,TPS7A4533,"Ultra-low-noise LDO 3.3V, analog power rail",MSOP-8-EP,TPS7A4533DGNR,Texas Instruments,Power IC,2.15,2.15,https://www.ti.com/lit/ds/symlink/tps7a45.pdf
LED1,1,Green PWR,"Power indicator LED, green",0603,19-217/GHC-YR1S2/3T,Everlight,LED,0.05,0.05,
R3,1,1k,"LED current limiting resistor",0402,RC0402FR-071KL,Yageo,Resistor,0.01,0.01,
"=== POWER SUPPLY PASSIVES ===",,,,,,,,,,,
C1,2,"10uF/50V X7R","Buck input capacitors",1210,GRM32ER71H106KA12L,Murata,Capacitor,0.35,0.70,
C5,2,"22uF/10V X5R","Buck output capacitors",1210,GRM32ER61A226ME20L,Murata,Capacitor,0.25,0.50,
R1,1,"52.3k 1%","Feedback divider top (buck converter)",0402,RC0402FR-0752K3L,Yageo,Resistor,0.01,0.01,
R2,1,"10k 1%","Feedback divider bottom (buck converter)",0402,RC0402FR-0710KL,Yageo,Resistor,0.01,0.01,
C7,1,"10uF/10V","3.3V LDO input capacitor",0805,GRM21BR61A106ME51L,Murata,Capacitor,0.10,0.10,
C8,1,"22uF/6.3V","3.3V LDO output capacitor",0805,GRM21BR60J226ME39L,Murata,Capacitor,0.12,0.12,
C9,1,"10uF/10V","Analog LDO input capacitor",0805,GRM21BR61A106ME51L,Murata,Capacitor,0.10,0.10,
C10,1,"10uF/6.3V","Analog LDO output capacitor",0805,GRM21BR60J106ME19L,Murata,Capacitor,0.12,0.12,
"=== MCU DECOUPLING (per AN4938) ===",,,,,,,,,,,
"C30-C37",8,100nF,"VDD decoupling capacitors",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.16,
C38,1,4.7uF,"VDD bulk decoupling",0805,GRM21BR61C475KA73L,Murata,Capacitor,0.08,0.08,
C39,1,1uF,"VDDA decoupling",0402,GRM155R61A105ME01D,Murata,Capacitor,0.03,0.03,
C40,1,100nF,"VDDA decoupling",0402,GRM155R71C104KA88D,Murata,Capacitor,0.02,0.02,
